PMID,标题,摘要,关键词,主题词,期刊,年份
41875502,Injectable thermosensitive hydrogel-based sustained delivery system for anti-diabetic peptides in type 2 diabetes mellitus therapy: A review.,"Injectable thermosensitive hydrogels have emerged as a promising class of biomaterials for the sustained delivery of drug. These smart systems undergo a sol-gel phase transition in response to physiological temperature, enabling minimally invasive injection and the formation of an in situ drug depot capable of controlled and sustained drug release. In recent years, thermosensitive hydrogels have drawn increasing attention in type 2 diabetes mellitus (T2DM) therapy, offering enhanced patient adherence, stable glycemic control, and reduced injection frequency compared with conventional formulations. Importantly, beyond glucose lowering, several hydrogel-based incretin therapies-particularly GLP-1 receptor agonists and dual GIP/GLP-1 agonists-have demonstrated clinically significant body-weight reduction and improved metabolic outcomes, addressing both hyperglycemia and obesity, two core components of T2DM pathophysiology. This review summarizes the classification, polymer composition, and drug release mechanisms of thermosensitive hydrogels. Special emphasis is placed on their use in the sustained delivery of insulin, GLP-1 receptor agonists and dual GIP/GLP-1 agonists. These hydrogel-based depots have demonstrated prolonged pharmacological efficacy, while preserving drug bioactivity, minimizing burst release, and achieving superior improvements in glycemic control and providing superior body-weight management with GLP-1 receptor agonists-loaded thermosensitive hydrogels, as compared with conventional injectable regimens. Finally, the challenges and future prospects of thermosensitive hydrogel systems are discussed, including the need for improved formulation stability, scalable manufacturing, and regulatory translation. With continued interdisciplinary advancements, injectable thermosensitive hydrogels hold strong potential as next-generation, long-acting, and patient-friendly delivery platforms for comprehensive diabetes management, encompassing both glycemic control and body-weight reduction in T2DM patients.",Body-weight reduction; Glycemic control; Injectable thermosensitive hydrogel; Sustained release; Type 2 diabetes mellitus therapy,,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2026
41875248,Effects of the mHealth Supportive Care Program for Family Caregivers of Individuals With Dementia and Diabetes: Pilot Randomized Controlled Trial.,,diabetes; family caregivers; mobile health; randomized controlled trial; senile dementia; supportive care,,JMIR mHealth and uHealth,2026
41874854,Evidence-Based Positioning of Sodium-Glucose Co-transporter 2 Inhibitors and Glucagon-Like Peptide 1 Receptor Agonists in the Management of Chronic Kidney Disease with Type 2 Diabetes and Overweight or Obesity: A Systematic Literature Review.,,Chronic kidney disease; Glucagon-like peptide 1 receptor agonist; Obesity; Sodium-glucose co-transporter 2 inhibitor; Type 2 diabetes,,Advances in therapy,2026
41874690,Blood transfusion in pediatric sepsis-associated acute kidney injury: a nationwide study of risk factors and outcomes.,,Blood transfusions; Child intensive care; National database analysis; Risk factors; Risk stratification; Sepsis-related acute kidney injury,,"Pediatric nephrology (Berlin, Germany)",2026
41874282,Effects of Exercise Combined With Vitamin D Interventions on Glucose-Lipid Metabolism and Obesity in Individuals With Type 2 Diabetes Mellitus: A Systematic Review and Meta-Analysis.,,exercise; glucose-lipid metabolism; obesity; type 2 diabetes mellitus; vitamin D,,Nutrition reviews,2026
41874147,Clinical Management of Severe <i>Cupriavidus gilardii</i> Superinfection After Influenza a Virus Pneumonia: A Case Report and Literature Review.,,Cupriavidus gilardii; bloodstream infection; multiple organ failure; septic shock,,Infectious disease reports,2026
41873917,Development and validation of an online machine-learning tool for predicting delirium risk in older adults with type 2 diabetes: A retrospective cohort study based on the MIMIC-IV database.,"ObjectiveIn older adults with Type 2 diabetes mellitus (T2DM), the risk of delirium is significantly increased, driven by neuropathological alterations stemming from chronic insulin resistance. We utilized artificial intelligence and geriatric electronic health records to create an interpretable online machine-learning algorithm for predicting delirium risk. This tool facilitates prompt identification of high-risk elderly T2DM patients, enabling optimized interventions and improved clinical outcomes.MethodsThis retrospective cohort study identified older adults with T2DM using International Classification of Diseases (ICD) codes, with delirium defined by the Confusion Assessment Method for the intensive care unit (CAM-ICU). We extracted baseline demographics, vital signs, laboratory measurements, comorbidities and clinical severity scores. Candidate predictors for eight machine-learning algorithms were selected using least absolute shrinkage and selection operator regression and the Boruta method. Discrimination was assessed using accuracy, sensitivity, specificity and the F1 score. The final model was interpreted using SHapley Additive exPlanations (SHAP) and deployed as an online risk calculator.ResultsIntegrating dual feature selection methods identified 14 key predictors and the gradient boosting machine (GBM) model accurately predicted delirium risk in elderly patients with T2DM, demonstrating strong discriminatory performance with robust calibration in both internal and external validation. SHAP analysis highlighted the Glasgow Coma Scale, ICU length of stay and Sequential Organ Failure Assessment score as the predominant contributors to model predictions. The model was successfully deployed as an accessible online tool and the accompanying web-based calculator enables rapid, personalized risk assessment to support early intervention in ICU settings.ConclusionsThe GBM model showed strong performance in predicting delirium risk among elderly patients with T2DM, supporting clinically meaningful risk stratification. The accompanying web-based calculator enables rapid, individualized bedside assessment and may facilitate early identification of high-risk patients and timely intervention in ICU settings.",Type 2 diabetes mellitus; delirium; gradient boosting algorithm; machine learning; online calculator,,Science progress,2026
41873903,Collaborative Multiscale and Wavelet-Based Fusion Network for Leakage Area Semantic Segmentation of Ultrawide Field Fluorescein Angiography.,,,,Translational vision science & technology,2026
41873901,Synergistic Impact of Fasting Plasma Glucose and Serum Uric Acid on Peripheral Diabetic Retinopathy Severity in T2DM Patients.,,,,Translational vision science & technology,2026
41873627,Gestational diabetes status modifies pre-pregnancy BMI associations with large for gestational age: A prospective cohort study in central China.,,gestational diabetes mellitus; large for gestational age; maternal metabolic health; pre‐pregnancy body mass index; prospective cohort; risk stratification,,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,2026
41873485,Prediction Models and Prognostic Analysis of Immune-Related Acute Kidney Injury in Lung Cancer Patients.,"IntroductionImmune checkpoint inhibitors (ICIs) are extensively utilized in lung cancer patients, with documented instances of ICIs-associated acute kidney injury (ICIs-AKI). This study aims to explore a model for early recognition of ICIs-AKI.MethodsThe study involved 413 adult lung cancer patients treated with ICIs at Ningbo No.2 Hospital between Sept. 1, 2021, and June 30, 2023. Patients were followed until death or Dec. 31, 2023, and categorized into ICIs-AKI or non-AKI groups. We employed univariate and multivariate logistic regression to identify risk factors, developed both logistic regression and Multilayer Perceptron (MLP) prediction models, and used Kaplan-Meier survival analysis to assess prognosis.ResultsThe study included 381 lung cancer patients receiving ICIs treatment after excluding 32 patients. ICIs-AKI occurred in 13.39% of cases, with a median onset time of [123 (63, 303)] days. Multivariable logistic analysis identified diabetes, proteinuria, extrarenal irAEs, diuretic use, and chemotherapy as significant risk factors (all <i>P</i> < 0.05), while higher baseline eGFR levels were protective (<i>P</i> < 0.05). Two prediction models were developed: logistic regression (AUC=0.877, sensitivity=0.922, specificity=0.726) and MLP (AUC=0.950, accuracy=0.843, precision=0.847). Survival analysis showed no difference in overall survival between ICIs-AKI and non-AKI groups (HR = 1.021, 95% CI = 0.629-1.659, <i>P</i> = 0.932; adjusted HR = 0.950, 95% CI = 0.558-1.616, <i>P</i> = 0.849). AKI to CKD progression incidence was 58.82%, with no significant difference in overall survival between CKD and non-CKD groups (<i>P</i> = 0.157).ConclusionThis study offers detailed insights into ICIs-AKI, including its rate, onset timing, risk factors, and clinical features. Approximately half of the affected patients experienced spontaneous renal function recovery. Both logistic regression and MLP models effectively predicted ICIs-AKI. Importantly, neither ICIs-AKI incidence nor renal function restoration correlated with patient mortality. These findings underscore the importance of early detection and management strategies.",acute kidney injury; immune checkpoint inhibitors; lung cancer; prediction models; prognosis,,Technology in cancer research & treatment,2026
41873346,Competitive binding of EGR1 to MDM2 causes P53 to promote high glucose-induced impairment of Schwann cell function.,,Diabetic neuropathic pain; EGR1; MDM2; P53; Schwann cells,,Cytotechnology,2026
41873210,Cost-Effectiveness of Artificial Intelligence Assisted Screening for Diabetic Retinopathy: A Markov Model.,,Markov model; artificial intelligence; cost‐effectiveness analysis; diabetic retinopathy,,Diabetes/metabolism research and reviews,2026
41873140,The Chain Mediating Effect of Instrumental Activities of Daily Living and Regular Exercise in the Relationship Between Physical Performance and Cognitive Function Among Older Adults Comorbid With Diabetes Mellitus and Hypertension.,,cognitive function; diabetes; hypertension; instrumental activities of daily living; older adult; physical performance; regular exercise,,Brain and behavior,2026
41873032,Advances in Research on Childhood-Obesity Associated With Gestational Diabetes Mellitus.,"Childhood obesity has emerged as a major global public health concern. Recent reports indicate that the worldwide obesity rate among children and adolescents has climbed to 8.5%. Obesity-related conditions present serious health risks. The causes of childhood obesity are multifactorial, with growing attention from researchers on the link between maternal gestational diabetes mellitus (GDM) and an elevated risk of obesity in offspring. This association can have lasting effects throughout childhood. Consequently, understanding the causes of childhood obesity and implementing effective preventive and therapeutic measures are crucial for managing and mitigating the condition and its associated health complications. This study aims to thoroughly explore the relationship between maternal GDM and the heightened risk of childhood obesity, examining developmental stages, underlying pathophysiological mechanisms, and contributing factors. By developing and applying targeted management strategies during a child's growth and development, the objective is to effectively curb and improve obesity outcomes among children born to mothers with GDM.",child health; childhood obesity; gestational diabetes mellitus; offspring; pregnancy,,Journal of diabetes,2026
41873004,Interpreting Post-Discontinuation Trajectories After Semaglutide or Tirzepatide.,,antidiabetic drug; antiobesity drug; obesity therapy; type 2 diabetes; weight management,,"Diabetes, obesity & metabolism",2026
41872879,Advances in the differentiation of induced pluripotent stem cells into vascular cells for the treatment of diabetic microvascular disease.,,Blood vessel; Diabetes; Endothelial cells; Pericyte; Vascular smooth muscle cells; iPSCs,,Cardiovascular diabetology,2026
41872763,"Association between time-domain heart rate variability, diastolic dysfunction and unplanned readmission to cardiovascular department in older type 2 diabetes mellitus patients.",,Heart rate variability; Left ventricular diastolic dysfunction; Older patients; Type 2 diabetes mellitus; Unplanned readmission,,BMC geriatrics,2026
41872697,Arenarine D Promotes Pancreatic β Cell Proliferation Via DYRK1A Inhibition for T1DM Therapy.,"Diabetes is a complex and refractory metabolic disease severely threatening human health. A common feature of both type 1 and advanced type 2 diabetes is the failure and loss of functional β-cells. Stimulating pancreatic β cell proliferation for endogenous regeneration represents the most direct therapeutic approach.Through screening of secondary metabolites from the endophytic fungus of Ajuga decumbens Thunb using a zebrafish model, we identified Arenarine D promoting β cell regeneration. In a low-dose STZ-induced T1DM mouse model, Arenarine D treatment lowered blood glucose and improved insulin resistance. Importantly, we found it promotes mouse β cell proliferation by inhibiting DYRK1A. To our knowledge, we are the first to report that Arenarine D can promote the proliferation of pancreatic β cells by inhibiting DYRK1A, and this effect stems from the replication of existing β cells rather than other pathways. This demonstrates the great potential of Arenarine D in the treatment of T1DM.",T1DM; arenarine D; diabetes; β cell proliferation,,Chemistry & biodiversity,2026
41872659,Type 2 Diabetes From the Perspective of Telomere Biology.,,T2DM; telomerase; telomere,,"Endocrinology, diabetes & metabolism",2026
41872048,Development of a High-Fidelity EXPAR Platform and Its Application for Ultrasensitive Detection of Diabetic Foot Ulcer-Associated MicroRNAs.,"Diabetic foot ulcer (DFU), a severe complication of diabetes, necessitates sensitive detection of pathogenic microRNAs (miRNAs) as emerging diagnostic biomarkers. The exponential amplification reaction (EXPAR) offers high efficiency and rapid kinetics for miRNA detection, but its application is limited by persistent nonspecific amplification arising from spurious template-template interactions and interference from partially complementary sequences in complex samples. To address this, we present an integrated strategy combining a blocking probe prehybridized to the EXPAR template to sterically hinder nonspecific hybridization, magnetic bead-based isolation of target-bound probes to remove interferents, and a self-priming mechanism that regenerates the EXPAR primer only upon target recognition. This design ensures high specificity and minimizes primer-independent amplification. Coupling this optimized EXPAR platform with a G-quadruplex-based signal transduction system enables facile colorimetric readout for instrument-free visual detection. The method achieves a detection limit of 41.4 aM across a dynamic range of 100 aM to 50 pM for DFU-associated miRNAs, with excellent selectivity against nontarget miRNAs and consistent reproducibility in fibroblasts and serum. This work provides a generalizable solution to the specificity issue in EXPAR and delivers a reliable, sensitive platform for miRNA profiling in clinical and point-of-care settings.",,,Analytical chemistry,2026
41872046,"Multifunctional Dressing Integrating Local Drug Delivery, Self-Powered Electrical Stimulation, and Exudate Management for Chronic Diabetic Wound Healing.","Chronic diabetic wounds are often accompanied by persistent bacterial infection, excessive exudate accumulation, and impaired tissue regeneration, which together hinder effective healing. In this study, a multifunctional microneedle-triboelectric nanogenerator (MN-TENG) platform was designed to simultaneously provide localized antibacterial therapy, self-powered electrical stimulation, and exudate regulation for improved wound treatment. Dissolvable microneedles loaded with gelatin microspheres encapsulating ciprofloxacin hydrochloride enable sustained and localized antibiotic release at the wound site. The triboelectric nanogenerator, constructed from polyurethane foam and copper, converts biomechanical motion into low-intensity electrical stimulation, while the porous foam structure exhibits high water absorption capacity (589.6%), allowing efficient management of wound exudate and maintenance of a favorable microenvironment. <i>In vitro</i> studies demonstrate that the MN-TENG system possesses good cytocompatibility and significant antibacterial activity, achieving bactericidal efficiencies of approximately 80% against <i>Staphylococcus aureus</i> and 75% against <i>Escherichia coli</i> while also promoting fibroblast migration. In a diabetic wound model, treatment with MN-TENG markedly accelerates wound closure (∼35% improvement), reduces bacterial burden, and enhances angiogenesis and collagen deposition in regenerating tissue. These results suggest that the integrated MN-TENG platform offers a promising strategy for the management of infected diabetic wounds.",antibacterial therapy; chronic diabetes; drug delivery; microneedles; triboelectric nanogenerator,,ACS applied materials & interfaces,2026
41871761,Inhibition of voltage-dependent anion channel 1 aggregation protects pancreatic beta-cell mitochondria from glucose toxicity.,"Voltage-dependent anion channel 1 (VDAC1) is the major pore-forming protein located in the mitochondrial outer membrane and plays a key role in regulating mitochondrial metabolism, redox homeostasis, and apoptosis. However, its specific contribution to glucotoxicity-induced pancreatic β-cell dysfunction during the progression of diabetes remains incompletely defined. In this study, we found that prolonged high glucose exposure markedly disrupts β-cell metabolic homeostasis, as reflected by increased glucose utilization and lactate production, as well as suppression of mitochondrial respiration. These metabolic disturbances were accompanied by pronounced mitochondrial fragmentation, dissipation of mitochondrial membrane potential, ATP depletion, and excessive accumulation of reactive oxygen species (ROS). Notably, high glucose treatment significantly upregulated VDAC1 expression and promoted its pathological oligomerization. Forced overexpression of VDAC1 was sufficient to induce mitochondrial dysfunction and β-cell injury even under normoglycemic conditions, supporting a causal role for VDAC1 in glucotoxic stress. Inhibition of VDAC1 with the selective small-molecule inhibitor VBIT-4 markedly alleviated glucotoxicity-induced mitochondrial impairment, restored ATP production, reduced ROS accumulation, preserved mitochondrial membrane potential, and improved cell viability in both wild-type and VDAC1-overexpressing β-cells. Together with bio-layer interferometry (BLI), molecular docking, and molecular dynamics simulations, our data indicates a direct binding interaction between VBIT-4 and VDAC1, which induces conformational changes in the VDAC1 beta-barrel, thereby stabilizing the channel in a non-oligomerized state. In summary, this study identifies VDAC1 overexpression and oligomerization as key mediators of glucotoxicity-induced mitochondrial dysfunction and β-cell injury, and highlights VBIT-4 as a potential mitochondrial-targeted strategy that protects β-cell function in diabetes by blocking the pathological oligomerization of VDAC1.",Glucotoxicity; Mitochondrial dysfunction; Pancreatic β-cell; VBIT-4; VDAC1,,International journal of biological macromolecules,2026
41871720,CypA inhibition attenuates diabetic hypoglycemia-induced cognitive impairment via the CD147/NF-κB/MMP-9 pathway.,"Hypoglycemia, a frequent complication of diabetes therapy, induces severe cognitive impairment; however, the underlying mechanisms remain elusive. We aimed to investigate the critical role of the cyclophilin A (CypA)-mediated CD147/nuclear factor-kappa B (NF-κB)/matrix metalloproteinase-9 (MMP-9) inflammatory pathway in hypoglycemia-induced cognitive dysfunction in diabetes and to evaluate the therapeutic potential of CypA inhibition. We employed in vivo diabetic mouse models subjected to hypoglycemia and in vitro human brain vascular pericyte cultures under GD. Quantitative proteomics (tandem mass tag), behavioral assessments (Morris Water Maze), biochemical analyses (western blotting and immunofluorescence), and functional assays (mitochondrial function, migration, and apoptosis) were used to elucidate pathological mechanisms. Cyclosporin A (CsA) was used as a pharmacological cyclophilin inhibitor, and orthogonal pharmacological controls (FK506 and NIM811) were included to assess specificity in vitro. Hypoglycemia induced mitochondrial stress and activated CypA/CD147/NF-κB/MMP-9 signaling, causing pericyte dysfunction, blood-brain barrier (BBB) leakage, neuronal damage, and cognitive deficits in diabetic mice. Pharmacological inhibition of CypA with CsA effectively attenuated these inflammatory signaling changes. CsA treatment ameliorated mitochondrial dysfunction by reducing calcium overload and restoring oxygen consumption rate, decreased pericyte migration and apoptosis, restored BBB integrity, protected neurons, and significantly reversed hypoglycemia-induced cognitive impairment. Proteomic analysis further implicated pericyte and BBB dysfunction in hypoglycemia-induced neural damage. Collectively, our findings identify the CypA-mediated CD147/NF-κB/MMP-9 inflammatory pathway as a key mechanism driving hypoglycemia-induced cognitive dysfunction in diabetes via pericyte injury and BBB disruption. These data support pharmacological cyclophilin/CypA inhibition as a promising strategy for neurovascular protection and cognitive improvement.",Blood–brain barrier; Cognitive dysfunction; CypA inhibition; Diabetes; Hypoglycemia,,Biochemical pharmacology,2026
41871707,Development of an Electrochemiluminescence Immunoassay for Quantitative Determination of Semaglutide in Human Serum.,"Semaglutide, a long-acting glucagon-like peptide-1 receptor agonist (GLP-1RA), is widely used in the treatment of patients with type 2 diabetes mellitus and obesity. A sensitive and reliable quantification method is essential for bioanalysis of semaglutide in clinical studies. To develop a sensitive and specific immunoassay, we have prepared a pair of highly specific anti-semaglutide monoclonal antibodies and subsequently employed them as critical reagents in the development of an electrochemiluminescence immunoassay (ECLIA) for the quantification of semaglutide levels in human serum. The assay validation data presented here demonstrate that the performance of the ECLIA method meets prespecified criteria for all validation parameters within the quantitative range of 0.5 ng/mL to 200.0 ng/mL. The intra- and inter-assay precision (%CV) are both ≤14.4%, and accuracy (%RE) ranges from -12.5% to 15.3%. No interference is found with recombinant human GLP-1 as the endogenous counterpart, confirming the assay specificity. Additional assay performance parameters, including selectivity, dilutional linearity, hook effect, and sample stability, all meet the acceptance criteria preset in accordance with international guidelines for bioanalytical method validation. The method is suitable for bioanalysis of semaglutide in human serum.",Electrochemiluminescence immunoassay; Method development; Semaglutide; Validation,,Analytical biochemistry,2026
41870956,Diagnostic and prognostic performance of the fibrotic nonalcoholic steatohepatitis index in patients with metabolic dysfunction-associated steatotic liver disease.,,fibrotic nonalcoholic steatohepatitis index; metabolic dysfunction-associated steatohepatitis; metabolic dysfunction-associated steatotic liver disease,,European journal of gastroenterology & hepatology,2026
41870791,Sennoside A Ameliorates Diabetic Atherosclerosis by Inhibiting OSCP1/ERK1/2 Pathway to Regulate Endothelial Dysfunction.,,atherosclerosis; endothelial dysfunctions; organic solute carrier partner 1; sennoside A; type 2 diabetes mellitus,,Chinese journal of integrative medicine,2026
41870639,ANGPTL4-dependent metabolic reprogramming fuels RhoA signalling and microvascular dysfunction in diabetes.,,ANGPTL4; Diabetic microvascular complications; Endothelial hyperpermeability; Mechanotransduction; Mitochondrial dysfunction; Molecular docking; RhoA/ROCK; Single-cell RNA-sequencing; Spatial transcriptomics; Tanshinol B,,Acta diabetologica,2026
41870638,Patients with diabetes experience greater pruritus burden with impact on quality of life.,,,,Acta diabetologica,2026
41870543,Dapagliflozin attenuates myocardial fibrosis after myocardial infarction through regulating Lnc-Ang362/miR-200b-3p.,"Sodium-Glucose Cotransporter 2 inhibitor (SGLT2i) is cardioprotective in cardiovascular events regardless of diabetes, but the mechanism remains limited. Here, we evaluated the effect of dapagliflozin (DAPA) in myocardial remodeling after myocardial infarction (MI). In this study, 64 Sprague-Dawley rats were randomized into control, sham, MI, and MI + DAPA groups (n = 8 in each group) and had a 4-week treatment. Then the hearts were obtained for further exploration, and primary cardiac fibroblasts (CFs) were induced by transforming growth factor (TGF)-β<sub>1</sub> for cellular evaluation. A Luciferase reporter assay was conducted to confirm the candidate target of lnc-Ang362. DAPA treatment significantly improved MI-induced decrease of EF and FS, ventricular dilatation and thinning, myocardial fibrosis, and cell apoptosis in the hearts of MI rats and TGF-β<sub>1</sub>-treated CFs. In addition, miR-200b-3p was confirmed to be a target of lnc-Ang362. The up-regulated expression of lnc-Ang362 and down-regulated expression of miR-200b-3p were observed in MI hearts and TGF-β<sub>1</sub>-treated cells, and DAPA could reverse the aberrant expression. DAPA could improve MI-induced cardiac dysfunction and myocardial fibrosis. The anti-fibrosis effect of DAPA related to lnc-Ang362 promotes post-MI cardiac fibrosis by sponging miR-200b-3p.",DAPA; MiR-200b-3p; Myocardial fibrosis; SGLT2i; lnc-Ang362,,Naunyn-Schmiedeberg's archives of pharmacology,2026
41869759,ToxPLTC: Peptide Toxicity Prediction by Integrating Pretrained T5 Protein Language Model and Text Convolutional Neural Network.,"Peptide-based therapeutics show promising potential in treating a range of diseases, such as diabetes, cancer, and chronic pain. However, critical challenges, including peptide toxicity, immunogenicity, and stability deficiencies of peptides, have become major obstacles to their direct clinical application. Traditional toxicity testing methods based on a wet lab are not only costly but also time-consuming. In contrast, the classification model based on deep learning provides a new technical path for the efficient identification of peptide toxicity. In this study, we propose a deep learning framework called ToxPLTC, which employs the ProtT5 protein language model based on the Transformer architecture for pretraining peptide sequences, adopts the borderline SMOTE algorithm to handle an imbalanced training set data, and utilizes a text convolutional neural network combined with a fully connected layer for classification. Additionally, visualization analysis, motif analysis, and mutation-scan analysis are performed to understand the function of each module and enhance the interpretability of our model. The applicability domain is constructed based on the K-NN strategy to define the effective prediction range of our model to ensure the reliability of model predictions. The ToxPLTC model achieves a balanced accuracy of 93.02% on independent test set 1 and 88.04% on independent test set 2. Experimental results demonstrate that our model outperforms existing models on independent test sets and has good generalization ability. The ToxPLTC model possesses great potential as a valuable and robust tool for peptide-based drug development. The source data sets and codes can be available at the following GitHub repository: https://github.com/yunyunliang88/ToxPLTC.",,,Journal of chemical information and modeling,2026
41869736,Relationship between infertility and body mass-related indices in women of childbearing age: a cross-sectional study of the NHANES 2013-2016.,,A body shape index; National Health and Nutrition Examination Survey; body composition; infertility; reproductive health,,"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians",2026
41869696,Bilberry (<i>Vaccinium myrtillus</i> L.) extract alleviates gestational diabetes mellitus by coordinating TGR5/FXR signaling <i>via</i> a gut microbiota-bile acid axis.,"Dietary anthocyanins are associated with a reduced risk of gestational diabetes mellitus (GDM). However, it remains unclear whether their efficacy is mediated through the gut microbiota-bile acid-TGR5/FXR-GLP-1 axis, a mechanism extending beyond the direct antioxidant effects. This study aimed to investigate this hypothesis by examining the protective effects of anthocyanin-rich bilberry (<i>Vaccinium myrtillus</i> L.) extract (VME) in rats with GDM. The GDM model was induced by a high-fat diet. The extract was administered <i>via</i> oral gavage at 400 mg (kg day)<sup>-1</sup>, starting 6 weeks before mating and continuing throughout the pregnancy. VME supplementation significantly alleviated core metabolic disturbances in GDM rats, including hyperglycemia, insulin resistance, dyslipidemia, inflammation, and oxidative stress. Mechanistically, VME induced substantial gut microbiota remodeling, as characterized by a notable increase in the amount of beneficial <i>Lactobacillus</i>. This shift was accompanied by marked changes in the bile acid (BA) pool, specifically an elevated level of hyodeoxycholic acid (HDCA) and reduced levels of cholic acid (CA) and chenodeoxycholic acid (CDCA). The modification of BAs was simultaneously linked to the activation of TGR5 and the inhibition of FXR, which subsequently correlated with stimulated GLP-1 secretion. Integrated correlation analyses further supported this pathway, linking specific microbial alterations to BA profile shifts and metabolic improvements. Altogether, our findings indicate that the anti-GDM effect of bilberry extract is consistent with action <i>via</i> a coordinated gut microbiota-BA-TGR5/FXR-GLP-1 pathway. This work provides a novel mechanistic basis for the dietary inclusion of anthocyanin-rich foods in GDM management strategies.",,,Food & function,2026
41869674,Transvaginal ultrasound-detected endometrial echogenicity heterogeneity in diagnosing endometrial carcinoma: risk factors and nomogram-based prediction model.,,diagnosis; endometrial cancer; endometrial echogenicity; risk factors; transvaginal ultrasound,,Frontiers in oncology,2026
41869522,Research on epicardial adipose tissue as a metabolic therapeutic target in AF: focus on GLP-1 receptor agonists.,"Epicardial adipose tissue (EAT), a metabolically active visceral fat depot anatomically contiguous with the myocardium, has emerged as a critical mediator and promising metabolic therapeutic target in atrial fibrillation (AF), particularly in the context of obesity and diabetes mellitus. Pathological expansion and dysfunction of EAT promote AF through paracrine and vasocrine secretion of pro-inflammatory and pro-fibrotic cytokines, release of extracellular vesicles carrying arrhythmogenic cargo, direct infiltration, and modulation of local electrophysiology and autonomic signaling, thereby creating a substrate for atrial cardiomyopathy, fibrosis, electrical remodeling, and AF initiation/persistence. Glucagon-like peptide-1 receptor agonists (GLP-1RAs), beyond their glucoregulatory and weight-loss benefits, exhibit potential cardioprotective effects that may be relevant to AF. Notably, GLP-1 receptors are expressed in both human EAT and atrial tissue. Preclinical and clinical studies suggest that GLP-1RAs may reduce EAT volume/thickness, potentially exceeding overall weight loss, attenuate EAT inflammation and fibrosis, improve cardiomyocyte calcium handling, mitigate oxidative stress, and suppress pulmonary vein ectopy, thereby potentially reducing AF susceptibility and recurrence post-ablation. While evidence from genetic studies, meta-analyses, and specific cardiovascular outcome trials (CVOTs) supports an association between certain GLP-1RAs and reduced AF risk, conflicting data exist regarding drug-specific effects, underscoring the need for further mechanistic and outcome research. Targeting EAT modulation via GLP-1RAs represents a compelling strategy to disrupt the obesity-diabetes-AF axis, although challenges remain in elucidating precise molecular mechanisms, standardizing EAT assessment, understanding response heterogeneity, and defining the clinical role of specific GLP-1RAs within AF management algorithms.",atrial fibrillation; atrial remodeling; epicardial adipose tissue; glucagon-like peptide-1 receptor agonist; therapeutic target,,Frontiers in cardiovascular medicine,2026
41869521,"Correlation of neutrophil/lymphocyte, monocyte/lymphocyte, and CRP/ALB ratios with the extent of coronary artery lesions and their predictive value.",,CRP/ALB ratio; Gensini score; coronary heart disease; monocyte/lymphocyte ratio; neutrophil/lymphocyte ratio,,Frontiers in cardiovascular medicine,2026
41869496,Expert consensus on acupuncture for diabetic foot.,"Diabetic foot (DF), is called ""foot gangrene"" (gangrene) or ""nerve gangrene"" (gangrene of the nerve area) in traditional Chinese medicine. It is a severe complication of diabetes, whose incidence rate is high, and the consequences is serious. Acupuncture is a promising therapy, it is effective, it can alleviate symptoms, accelerate the wound healing and reduce the risk of amputation. This consensus includes clinical evidence and expert practical experience, it shows acupuncture is an effective supportive treatment methods. Its main purpose is to provide practical, standardized, and safe instructions for clinicians. It can promote the use of acupuncture in evidence-based treatment of diabetic foot ulcers. The innovation points of this consensus are: 1. Stage guidance: It includes the indications, contraindications and Wagner classification system, which adjusts the treatment measures for different conditions. 2. Integrated diagnosis: It includes modern vascular assessment, neurological examinations, and TCM syndrome, such as ankle-brachial index, arterial oxygen partial pressure and nerve conduction studies, finally formulating different treatment plans. 3. Focus on strict operating procedures: Formulating safe and controlling infection measures for patients with diabetic foot to conduct acupuncture treatment, and figuring out the risk factors.",Diabetic foot; acupuncture; expert consensus; traditional Chinese medicine,,American journal of clinical and experimental immunology,2026
41869338,Targeting the oxidative stress-neuroinflammation axis: the mechanism of arctigenin's broad-spectrum analgesia with limited side effects.,,MAPK; arctigenin (AG); c-fos; microglia; mitochondrial; neuropathic pain,,Frontiers in immunology,2026
41869083,Psychometric Validation of the Chinese Version of the Diabetes Health Literacy Scale Among Adults with Type 2 Diabetes Mellitus: Application of Factor Analysis and Item Response Theory.,,diabetes health literacy scale; item response theory; reliability; type 2 diabetes mellitus; validity,,"Diabetes, metabolic syndrome and obesity : targets and therapy",2026
41869081,Pericoronary Fat Attenuation Index Mediates the Link Between TyG Index and OSA Risk in Type 2 Diabetes.,,fat attenuation index; mediation analysis; obstructive sleep apnea; triglyceride-glucose index; type 2 diabetes,,"Diabetes, metabolic syndrome and obesity : targets and therapy",2026
41869042,Development and validation of a multivariable prediction model for non-invasive discrimination between diabetic and non-diabetic kidney disease in type 2 diabetes: a clinical nomogram.,,diabetes complications; diabetes mellitus; diagnosis; kidney diseases; nomogram; type 2,,Frontiers in endocrinology,2026
41869033,The impact of maternal gestational diabetes mellitus on cardiac structural and functional parameters in infants.,,cardiac structural and functional parameters; gestational diabetes mellitus (GDM); infant; pregnancy; sex-specific difference,,Frontiers in endocrinology,2026
